SCENARIO,Rainfall (mm/year),Rate increase tariff tot (%/year),Rate increase costs tot (%/year),Rate increase discount tot (%/year),Area (m²),Demand non-potable (m³/year),V ideal (m³),Satis (%),Consumption (m³/year),Vextra  (m³/year),NPV,NPVV,BCR,REL,RH (%),Initial cost,V maxnpv (m³),Satis npv (%),Cons NPV (m³/year),Vextra NPV (m³/year),NPV max,NPVV NPV,BCR NPV,REL NPV,RH NPV (%),V maxBCR (m³),Satis BCR (%),Cons BCR  (m³/year),Vextra BCR  (m³/year),NPV BCR,NPVV BCR,BCR max,REL BCR,RH BCR (%),V maxNPVV (m³),Satis NPVV (%),Cons NPVV (m³/year),Vextra NPVV (m³/year),NPV NPVV,NPVV max,BCR NPVV,rel NPVV,RH NPVV (%),V maxREL (m³),Satis REL (%),Cons REL  (m³/year),Vextra REL  (m³/year),NPV REL,NPVV REL,BCR REL,REL max,RH REL (%),V maxsatis (m³),Satis max (%),Cons satis  (m³/year),Vextra satis  (m³/year),NPV satis,NPVV satis,BCR satis,REL satis,RH satis (%),V maxRH (m³),Satis RH (%),Cons RH  (m³/year),Vextra RH  (m³/year),NPV RH,NPVV RH,BCR RH,REL RH,RH max (%)
1,1441.383333333333333333333321,1.1496502993938786,1.195381150657179,0.8971153674686134,200,113.0551,5,60.71849312932863481039386996,68.689236,155.9672973333333333333333333,16209.28212208377523432309253,7.865998161188736681791546170,3.905571401544766824168952304,60.06206078306106,30.57522297741619206563619487,5578.69,5,60.71849312932863481039386996,68.689236,155.9672973333333333333333333,16209.28212208377523432309253,7.865998161188736681791546170,3.905571401544766824168952304,60.06206078306106,30.57522297741619206563619487,5,60.71849312932863481039386996,68.689236,155.9672973333333333333333333,16209.28212208377523432309253,7.865998161188736681791546170,3.905571401544766824168952304,60.06206078306106,30.57522297741619206563619487,5,60.71849312932863481039386996,68.689236,155.9672973333333333333333333,16209.28212208377523432309253,7.865998161188736681791546170,3.905571401544766824168952304,60.06206078306106,30.57522297741619206563619487,40,92.73331660921510307741081397,104.9067646666666666666666667,119.7497686666666666666666667,-177702.9705691026801878222104,-56.46377877656109465499616316,-4.804977908103302712216161429,92.49794651820754,46.69651183080067706317911075,40,92.73331660921510307741081397,104.9067646666666666666666667,119.7497686666666666666666667,-177702.9705691026801878222104,-56.46377877656109465499616316,-4.804977908103302712216161429,92.49794651820754,46.69651183080067706317911075,40,92.73331660921510307741081397,104.9067646666666666666666667,119.7497686666666666666666667,-177702.9705691026801878222104,-56.46377877656109465499616316,-4.804977908103302712216161429,92.49794651820754,46.69651183080067706317911075
2,1467.523333333333333333333317,1.185726704496252,1.0632335950804312,1.1123633837387432,200,113.0551,5,63.12254591677785795385722615,71.42842933333333333333333333,157.3134373333333333333333333,9140.16268033805190111959746,4.265417736162107359008051668,2.638406629573977385572526428,62.38138686131387,31.22665315896113464726468963,5578.69,5,63.12254591677785795385722615,71.42842933333333333333333333,157.3134373333333333333333333,9140.16268033805190111959746,4.265417736162107359008051668,2.638406629573977385572526428,62.38138686131387,31.22665315896113464726468963,1.75,48.91660841987086885680903079,55.35322533333333333333333333,173.3886413333333333333333333,7835.82838097061971801627109,4.718682204926510706919764850,3.186830277202888967098108415,45.95802919708029,24.19899170185431729740190398,1.75,48.91660841987086885680903079,55.35322533333333333333333333,173.3886413333333333333333333,7835.82838097061971801627109,4.718682204926510706919764850,3.186830277202888967098108415,45.95802919708029,24.19899170185431729740190398,40,94.17527250309772406242296930,106.5671813333333333333333333,122.1746853333333333333333333,-11385.60926926564133663404289,-3.561324454931516169541565583,0.6280691872132670981301213573,93.96897810218978,46.58840241459951362933705767,40,94.17527250309772406242296930,106.5671813333333333333333333,122.1746853333333333333333333,-11385.60926926564133663404289,-3.561324454931516169541565583,0.6280691872132670981301213573,93.96897810218978,46.58840241459951362933705767,40,94.17527250309772406242296930,106.5671813333333333333333333,122.1746853333333333333333333,-11385.60926926564133663404289,-3.561324454931516169541565583,0.6280691872132670981301213573,93.96897810218978,46.58840241459951362933705767
3,1437.473333333333333333333335,1.1747325100883945,1.0533684790847748,0.9613924929777038,200,113.0551,5,64.97178970401734601703440368,73.50087866666666666666666667,149.7583213333333333333333333,204180.7202679150633227751566,92.59785913303778523662418104,37.60011943089059677500903556,64.32417632563659,32.92176925594406262616128100,5578.69,40,96.28291670924158708915830386,108.922334,114.336866,267750.5778532381511354970815,81.93929503727495444460364498,9.746540276407655881157627228,96.08469471570686,48.78738882876943033030665702,1,38.81900283267134304347761776,43.914918,179.344282,125502.3340367599392133491768,95.26173166391121669508690782,45.49585328935591738225629730,34.84530437163457,19.66992536029870213635093201,1,38.81900283267134304347761776,43.914918,179.344282,125502.3340367599392133491768,95.26173166391121669508690782,45.49585328935591738225629730,34.84530437163457,19.66992536029870213635093201,40,96.28291670924158708915830386,108.922334,114.336866,267750.5778532381511354970815,81.93929503727495444460364498,9.746540276407655881157627228,96.08469471570686,48.78738882876943033030665702,40,96.28291670924158708915830386,108.922334,114.336866,267750.5778532381511354970815,81.93929503727495444460364498,9.746540276407655881157627228,96.08469471570686,48.78738882876943033030665702,40,96.28291670924158708915830386,108.922334,114.336866,267750.5778532381511354970815,81.93929503727495444460364498,9.746540276407655881157627228,96.08469471570686,48.78738882876943033030665702
4,1481.323333333333333333333343,1.105786672754444,1.047307378123721,0.8333416261988073,200,113.0551,5,62.42390542242154364121649473,70.605634,160.063166,88597.68548667670812911388562,41.82748621574906620488382255,16.88144985411928394105316582,61.62482884527613,30.60909581183064202874424283,5578.69,30,85.69199938807056474125897084,96.92341266666666666666666667,133.7453873333333333333333333,102172.2519576679815366778433,35.13848345017621147893335744,6.121642055272011073003613357,85.26700136923779,42.01843191045631947912620461,1,38.85004537160287288551104993,43.94201333333333333333333333,186.7267866666666666666666667,55449.67549147776396645890723,42.06276354161724342660896681,20.65924095792924899716327626,35.12551346417161,19.04982959695170449290642399,1.75,48.66879796741820564336036965,55.04768266666666666666666667,175.6211173333333333333333333,70209.43081737200775342631335,42.51431208740437426916470220,20.59411329496119596042250435,45.677772706526696,23.86438160109501877439283799,40,93.07984432519882328244737117,105.279562,125.389238,95543.1813001073390975750930,30.25062651764810695089299257,4.121084892057875645456532255,92.87083523505248,45.64100649936185561289606570,40,93.07984432519882328244737117,105.279562,125.389238,95543.1813001073390975750930,30.25062651764810695089299257,4.121084892057875645456532255,92.87083523505248,45.64100649936185561289606570,40,93.07984432519882328244737117,105.279562,125.389238,95543.1813001073390975750930,30.25062651764810695089299257,4.121084892057875645456532255,92.87083523505248,45.64100649936185561289606570
5,1473.660000000000000000000007,1.087868955860903,1.1308406495223469,1.4471987696359545,200,113.0551,5,65.35743819006987280337498513,73.93715266666666666666666667,155.5033806666666666666666667,-3123.922568819797636455520229,-1.408368439118144039455130505,0.4400257822499910128622453965,64.5888473122205,32.22497419810739631009690819,5578.69,1,38.50083167905740985445791814,43.55497933333333333333333333,185.885554,-1596.182958429819607939942363,-1.221584751702725032433675791,0.4340860408184887972019746705,34.772291685680386,18.98312329585472837115673836,1.75,48.71104022045144994940481808,55.10552,174.3350133333333333333333333,-1858.572552369062534114247422,-1.124250681461713535603600403,0.4813078423502346975420651927,45.5416628639226,24.01734305592037210513225213,1.75,48.71104022045144994940481808,55.10552,174.3350133333333333333333333,-1858.572552369062534114247422,-1.124250681461713535603600403,0.4813078423502346975420651927,45.5416628639226,24.01734305592037210513225213,40,96.74444367749511186679552751,109.4444473333333333333333333,119.996086,-28271.13430059170224836964719,-8.610497529243223263134100828,0.07647401995377321345172043713,96.52277083143196,47.70057223251456877134176815,40,96.74444367749511186679552751,109.4444473333333333333333333,119.996086,-28271.13430059170224836964719,-8.610497529243223263134100828,0.07647401995377321345172043713,96.52277083143196,47.70057223251456877134176815,40,96.74444367749511186679552751,109.4444473333333333333333333,119.996086,-28271.13430059170224836964719,-8.610497529243223263134100828,0.07647401995377321345172043713,96.52277083143196,47.70057223251456877134176815
6,1412.443333333333333333333332,1.1693921721400995,1.0810547340425074,1.1988333716435644,200,113.0551,5,61.37497758728951411152322032,69.45724666666666666666666667,150.3971533333333333333333333,1181.181396696456154732039164,0.5668625681661323914327533878,1.211730961336166045206318896,60.75175622662166,31.59238417182765806218418493,5578.69,1.75,46.77088341651585588701824881,52.92998733333333333333333333,166.9244126666666666666666667,1487.949740613721664687131738,0.9370552910729468306612049810,1.415258398414184473803267965,43.99233646565094,24.07501843644399808843185915,1.75,46.77088341651585588701824881,52.92998733333333333333333333,166.9244126666666666666666667,1487.949740613721664687131738,0.9370552910729468306612049810,1.415258398414184473803267965,43.99233646565094,24.07501843644399808843185915,1.75,46.77088341651585588701824881,52.92998733333333333333333333,166.9244126666666666666666667,1487.949740613721664687131738,0.9370552910729468306612049810,1.415258398414184473803267965,43.99233646565094,24.07501843644399808843185915,40,92.53551661679842879013035687,104.7212146666666666666666667,115.1331853333333333333333333,-22384.21657138070159771257820,-7.125018123160266627704566032,0.2687804696177794126416853753,92.26347960952468,47.63207589507722686772094016,40,92.53551661679842879013035687,104.7212146666666666666666667,115.1331853333333333333333333,-22384.21657138070159771257820,-7.125018123160266627704566032,0.2687804696177794126416853753,92.26347960952468,47.63207589507722686772094016,40,92.53551661679842879013035687,104.7212146666666666666666667,115.1331853333333333333333333,-22384.21657138070159771257820,-7.125018123160266627704566032,0.2687804696177794126416853753,92.26347960952468,47.63207589507722686772094016
7,1420.806666666666666666666677,1.2458252737188553,1.0363451656573173,0.9633093689828915,200,113.0551,5,62.96695903943125640028127639,71.24586866666666666666666667,149.7669313333333333333333333,847925.9080510811643786211151,396.7134861850568141848754099,152.9937311539234415926715977,62.314079751802176,32.23608255570114792748051998,5578.69,40,94.17927135011398313853570208,106.5619826666666666666666667,114.4508173333333333333333333,1222510.489904976338210504571,382.4098298824746398332480260,40.93544037894002085479417405,93.94105301578611,48.21529914406164107538869544,1,37.36029900136772460179050530,42.27243933333333333333333333,178.7403606666666666666666667,519377.6956364851235665394145,409.5479259674022782649759353,185.1412267283871611700381539,33.83520394196551,19.12669281296528225212898680,0.31,16.40805292498470130863916767,18.56538733333333333333333333,202.4474126666666666666666667,237258.8666925317838246032296,425.9878206554551888595182368,98.68080739280494368880129012,11.543023998540013,8.400141228622655942702564437,40,94.17927135011398313853570208,106.5619826666666666666666667,114.4508173333333333333333333,1222510.489904976338210504571,382.4098298824746398332480260,40.93544037894002085479417405,93.94105301578611,48.21529914406164107538869544,40,94.17927135011398313853570208,106.5619826666666666666666667,114.4508173333333333333333333,1222510.489904976338210504571,382.4098298824746398332480260,40.93544037894002085479417405,93.94105301578611,48.21529914406164107538869544,40,94.17927135011398313853570208,106.5619826666666666666666667,114.4508173333333333333333333,1222510.489904976338210504571,382.4098298824746398332480260,40.93544037894002085479417405,93.94105301578611,48.21529914406164107538869544
8,1412.886666666666666666666674,1.1331892348865877,1.068823555803443,1.2236633792475309,200,113.0551,5,61.03073734080714741207483178,69.06137333333333333333333333,150.6698266666666666666666667,-634.660277437304996472991389,-0.3063266998635344236194315419,0.8862348907293101074852713829,60.42883211678832,31.42993499936892591190205730,5578.69,1.75,46.74659497794005709521383369,52.897674,166.833526,129.330625557392876374129428,0.08149736133791243598230136924,1.036093711345865800131762320,44.03284671532847,24.07381109282614394314507908,1.75,46.74659497794005709521383369,52.897674,166.833526,129.330625557392876374129428,0.08149736133791243598230136924,1.036093711345865800131762320,44.03284671532847,24.07381109282614394314507908,1.75,46.74659497794005709521383369,52.897674,166.833526,129.330625557392876374129428,0.08149736133791243598230136924,1.036093711345865800131762320,44.03284671532847,24.07381109282614394314507908,40,92.53493452714520631619927050,104.711002,115.020198,-24803.89791600056209633346998,-7.895985917506727101555660783,0.1897373523013702688723644883,92.2536496350365,47.65413468820085631899338829,40,92.53493452714520631619927050,104.711002,115.020198,-24803.89791600056209633346998,-7.895985917506727101555660783,0.1897373523013702688723644883,92.2536496350365,47.65413468820085631899338829,40,92.53493452714520631619927050,104.711002,115.020198,-24803.89791600056209633346998,-7.895985917506727101555660783,0.1897373523013702688723644883,92.2536496350365,47.65413468820085631899338829
9,1411.629999999999999999999996,1.1150784033716055,1.105917847383838,1.2483550953247153,200,113.0551,5,62.01247276281866769075354406,70.140276,149.3370573333333333333333333,-1626.915150471621904709710452,-0.7731721075024103149664017347,0.7083696798940930747702936618,61.296211775444995,31.95786778285381026438569207,5578.69,1,38.03661185245781292635801756,43.02196533333333333333333333,176.455368,-653.830200875005843149784997,-0.5065863416583772394450234917,0.7681897080434931455856733118,34.35874030123232,19.60200840785381026438569207,1.75,47.62056143022679730474023987,53.86205666666666666666666667,165.6152766666666666666666667,-655.325695147092374556037233,-0.4055580345441026138289169383,0.8171110951004294010208676534,44.71930625285258,24.54105663151244167962674961,1.75,47.62056143022679730474023987,53.86205666666666666666666667,165.6152766666666666666666667,-655.325695147092374556037233,-0.4055580345441026138289169383,0.8171110951004294010208676534,44.71930625285258,24.54105663151244167962674961,40,93.69836399645797654763641077,105.9791493333333333333333333,113.498184,-26425.94982152111965071248988,-8.311682058139033578300751121,0.1367501937457841227618790213,93.49155636695573,48.28705895217729393468118196,40,93.69836399645797654763641077,105.9791493333333333333333333,113.498184,-26425.94982152111965071248988,-8.311682058139033578300751121,0.1367501937457841227618790213,93.49155636695573,48.28705895217729393468118196,40,93.69836399645797654763641077,105.9791493333333333333333333,113.498184,-26425.94982152111965071248988,-8.311682058139033578300751121,0.1367501937457841227618790213,93.49155636695573,48.28705895217729393468118196
10,1407.630000000000000000000004,1.2025441120939504,1.1351163325223406,1.0509711632483512,200,113.0551,5,63.23463639185492181514496383,71.529154,147.4697793333333333333333333,42989.20583997237047953633106,20.03341921252247742206687316,8.705967859833109651107398163,62.577583059510765,32.66187323895641500841404403,5578.69,10,68.73715091999218367155408794,77.753436,141.2454973333333333333333333,44348.62196643322808802231801,19.01250253276405177687680924,6.614673549626296490311357313,68.3096020445418,35.50402498155242156430594487,1.75,48.18384110118102327658574211,54.50413866666666666666666667,164.4947946666666666666666667,33401.71778145214053950273741,20.42763393664988751649461128,10.32178248472789345234350883,45.16246805403432,24.88785577037818144624144288,1.75,48.18384110118102327658574211,54.50413866666666666666666667,164.4947946666666666666666667,33401.71778145214053950273741,20.42763393664988751649461128,10.32178248472789345234350883,45.16246805403432,24.88785577037818144624144288,40,94.38924891321421329877703315,106.770332,112.2286013333333333333333333,33143.99382114044022674459392,10.34744177847095833910884343,2.082706447179028478763334776,94.15845198977729,48.75381371720531972149636041,40,94.38924891321421329877703315,106.770332,112.2286013333333333333333333,33143.99382114044022674459392,10.34744177847095833910884343,2.082706447179028478763334776,94.15845198977729,48.75381371720531972149636041,40,94.38924891321421329877703315,106.770332,112.2286013333333333333333333,33143.99382114044022674459392,10.34744177847095833910884343,2.082706447179028478763334776,94.15845198977729,48.75381371720531972149636041
